protein_id	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_000205185.1	K	Prophage CP4-57 regulatory protein (AlpA)	alpA	-	-	ko:K07733	-	-	-	-	"ko00000,ko03000"	-	-	-	Phage_AlpA
WP_000228469.1	K	Transcriptional regulator	lrp	"GO:0000976,GO:0001067,GO:0001101,GO:0001130,GO:0001216,GO:0001217,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006355,GO:0006520,GO:0006522,GO:0006524,GO:0006551,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009056,GO:0009058,GO:0009063,GO:0009078,GO:0009080,GO:0009081,GO:0009082,GO:0009098,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010033,GO:0010243,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0016053,GO:0016054,GO:0019219,GO:0019222,GO:0019752,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0032991,GO:0032993,GO:0042221,GO:0042802,GO:0043200,GO:0043201,GO:0043436,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0046394,GO:0046395,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901605,GO:1901606,GO:1901607,GO:1901698,GO:1901700,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1990837,GO:2000112,GO:2000113,GO:2001141"	-	ko:K03719	-	-	-	-	"ko00000,ko03000,ko03036"	-	-	-	"AsnC_trans_reg,HTH_24"
WP_000242758.1	K	COG0664 cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	crp	"GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0007154,GO:0007584,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009605,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0009991,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0016070,GO:0017076,GO:0018130,GO:0019001,GO:0019219,GO:0019222,GO:0019438,GO:0030551,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031667,GO:0031668,GO:0031669,GO:0031670,GO:0032553,GO:0032555,GO:0032561,GO:0032774,GO:0032991,GO:0032993,GO:0034641,GO:0034645,GO:0034654,GO:0035438,GO:0036094,GO:0042221,GO:0042802,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0045013,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0045990,GO:0046483,GO:0046983,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051716,GO:0060255,GO:0061984,GO:0061985,GO:0065007,GO:0070887,GO:0071496,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:0097659,GO:0140110,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000112,GO:2000113,GO:2001141"	-	ko:K10914	"ko02020,ko02024,ko02025,ko02026,ko05111,map02020,map02024,map02025,map02026,map05111"	-	-	-	"ko00000,ko00001,ko03000"	-	-	-	"Crp,cNMP_binding"
WP_000290724.1	J	Belongs to the bacterial ribosomal protein bL32 family	rpmF	"GO:0000027,GO:0000302,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006950,GO:0006979,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009628,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042221,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0050896,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1901700,GO:1990904"	-	ko:K02911	"ko03010,map03010"	M00178	-	-	"br01610,ko00000,ko00001,ko00002,ko03011,ko03029"	-	-	-	Ribosomal_L32p
WP_000301240.1	T	TerD domain	terE	-	-	ko:K05795	-	-	-	-	ko00000	-	-	-	TerD
WP_000358960.1	J	"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance"	rplR	"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008097,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	-	ko:K02881	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	-	-	Ribosomal_L18p
WP_000387720.1	CQ	BMC domain	eutM	"GO:0003674,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0031469,GO:0031471,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464"	-	ko:K04027	-	-	-	-	ko00000	-	-	-	BMC
WP_000405672.1	K	TIGRFAM Cd(II) Pb(II)-responsive transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	MerR_1
WP_000429386.1	C	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation"	atpE	"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0008324,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015399,GO:0015405,GO:0015672,GO:0015985,GO:0015986,GO:0016020,GO:0016021,GO:0016462,GO:0016469,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0031224,GO:0032991,GO:0033177,GO:0034220,GO:0034641,GO:0034654,GO:0036442,GO:0042623,GO:0042625,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044464,GO:0044769,GO:0045259,GO:0045263,GO:0046034,GO:0046390,GO:0046483,GO:0046933,GO:0046961,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0099131,GO:0099132,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600"	-	ko:K02110	"ko00190,ko00195,ko01100,map00190,map00195,map01100"	M00157	-	-	"ko00000,ko00001,ko00002,ko00194"	3.A.2.1	-	-	ATP-synt_C
WP_000462905.1	K	Activates ribosomal RNA transcription. Plays a direct role in upstream activation of rRNA promoters	fis	"GO:0000018,GO:0000229,GO:0000785,GO:0000786,GO:0000787,GO:0000789,GO:0000976,GO:0000984,GO:0000985,GO:0001017,GO:0001046,GO:0001047,GO:0001067,GO:0001121,GO:0001130,GO:0001131,GO:0001140,GO:0001216,GO:0001217,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008301,GO:0009058,GO:0009059,GO:0009314,GO:0009628,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0016032,GO:0016070,GO:0018130,GO:0019042,GO:0019045,GO:0019046,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031421,GO:0032359,GO:0032774,GO:0032991,GO:0032993,GO:0034641,GO:0034645,GO:0034654,GO:0042802,GO:0042803,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044374,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044427,GO:0044444,GO:0044446,GO:0044464,GO:0044815,GO:0045892,GO:0045893,GO:0045911,GO:0045934,GO:0045935,GO:0046483,GO:0046983,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051052,GO:0051054,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051704,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1990837,GO:2000112,GO:2000113,GO:2001141"	-	ko:K03557	"ko05111,map05111"	-	-	-	"ko00000,ko00001,ko03000,ko03036,ko03400"	-	-	-	HTH_8
WP_000522253.1	G	pts system	crr	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006109,GO:0006793,GO:0006796,GO:0006810,GO:0008150,GO:0008152,GO:0008643,GO:0009401,GO:0009892,GO:0009898,GO:0009987,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0019222,GO:0019897,GO:0019898,GO:0031234,GO:0044237,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045912,GO:0048519,GO:0050789,GO:0051179,GO:0051234,GO:0065007,GO:0071702,GO:0071944,GO:0080090,GO:0098552,GO:0098562"	-	ko:K02777	"ko00010,ko00500,ko00520,ko02026,ko02060,ko05111,map00010,map00500,map00520,map02026,map02060,map05111"	"M00265,M00266,M00268,M00270,M00272,M00303,M00806"	"R02738,R02780,R04111,R04394,R05132,R08559"	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.1.1.1	-	"e_coli_core.b2417,iAF1260.b2417,iAPECO1_1312.APECO1_4128,iB21_1397.B21_02278,iBWG_1329.BWG_2179,iE2348C_1286.E2348C_2603,iEC042_1314.EC042_2626,iEC55989_1330.EC55989_2707,iECABU_c1320.ECABU_c27380,iECBD_1354.ECBD_1264,iECB_1328.ECB_02317,iECDH10B_1368.ECDH10B_2582,iECDH1ME8569_1439.ECDH1ME8569_2351,iECD_1391.ECD_02317,iECED1_1282.ECED1_2861,iECH74115_1262.ECH74115_3648,iECIAI1_1343.ECIAI1_2475,iECIAI39_1322.ECIAI39_2563,iECNA114_1301.ECNA114_2494,iECO103_1326.ECO103_2936,iECO111_1330.ECO111_3147,iECO26_1355.ECO26_3470,iECOK1_1307.ECOK1_2734,iECS88_1305.ECS88_2607,iECSE_1348.ECSE_2708,iECSF_1327.ECSF_2281,iECSP_1301.ECSP_3365,iECUMN_1333.ECUMN_2739,iECW_1372.ECW_m2646,iEKO11_1354.EKO11_1311,iETEC_1333.ETEC_2530,iEcDH1_1363.EcDH1_1244,iEcE24377_1341.EcE24377A_2704,iEcHS_1320.EcHS_A2552,iEcSMS35_1347.EcSMS35_2572,iEcolC_1368.EcolC_1261,iG2583_1286.G2583_2949,iJO1366.b2417,iJR904.b2417,iLF82_1304.LF82_0357,iNRG857_1313.NRG857_12120,iSFV_1184.SFV_2469,iSF_1195.SF2472,iSFxv_1172.SFxv_2721,iSSON_1240.SSON_2506,iS_1188.S2618,iUMN146_1321.UM146_04535,iUMNK88_1353.UMNK88_3019,iUTI89_1310.UTI89_C2751,iWFL_1372.ECW_m2646,iY75_1357.Y75_RS12665,ic_1306.c2952"	PTS_EIIA_1
WP_000555737.1	T	member of a two-component regulatory system	cusS	-	2.7.13.3	"ko:K07636,ko:K07644"	"ko02020,map02020"	"M00434,M00452,M00745"	-	-	"ko00000,ko00001,ko00002,ko01000,ko01001,ko01504,ko02022"	-	-	-	"HAMP,HATPase_c,HisKA"
WP_000600171.1	S	TrbC/VIRB2 family	virB2	-	-	ko:K03197	"ko03070,ko05134,map03070,map05134"	M00333	-	-	"ko00000,ko00001,ko00002,ko02044"	3.A.7	-	-	TrbC
WP_000617546.1	J	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome	rplW	"GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	-	ko:K02892	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	-	-	Ribosomal_L23
WP_000729185.1	J	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit	rplX	"GO:0000027,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	-	ko:K02895	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	-	-	"KOW,ribosomal_L24"
WP_000756959.1	NU	Fimbrial protein	-	-	-	ko:K07345	"ko05133,map05133"	-	-	-	"ko00000,ko00001,ko02035,ko02044"	-	-	-	Fimbrial
WP_000758228.1	S	"Protein of unknown function, DUF"	copG	-	-	-	-	-	-	-	-	-	-	-	DUF411
WP_000813718.1	NU	Outer membrane usher protein	Z012_00755	-	-	ko:K07347	"ko05133,map05133"	-	-	-	"ko00000,ko00001,ko02000,ko02035,ko02044"	1.B.11.3	-	-	"PapC_C,PapC_N,Usher"
WP_000820818.1	M	"Pili and flagellar-assembly chaperone, PapD N-terminal domain"	-	-	-	-	-	-	-	-	-	-	-	-	"PapD_C,PapD_N"
