strain_x,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,K_type,K_locus_problems,K_locus_confidence,K_locus_identity,K_locus_missing_genes,O_locus,O_type,O_locus_problems,O_locus_confidence,O_locus_identity,O_locus_missing_genes,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,ID,Assembly Name,geo_loc_name,collected_by,isolation_source,collection_date,strain_y,lat_lon,isolate_name_alias,identification method,host_sex,host_disease,host_age,host,culture_collection,isolate,host_disease_outcome,host_health_state,host_description,host_disease_stage,sample_type,sample_name,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,locus_tag_prefix,num_replicons,project_name,ref_biomaterial,source_material_id,sub_species,type-material,fecal,genotype,host_tissue_sampled,env_package,investigation_type,Laboratory Host,Extraction Method,passage_history,Extraction Date,Passage Date,host_subject_id,pathotype,serotype,serovar,specimen_voucher,subgroup,subtype,ENA first public,ENA last update,ENA-CHECKLIST,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,note,panel_id,Bar Code No,sample_number,Panel_ID,encoded_traits,biomaterial_provider,depth,ontological term,ifsac_category,source_type,ENA-LAST-UPDATE,geographic location (region and locality),scientific_name,relative_week,collection_room,identified_by,host_taxid,sample_id,perturbation,rel_to_oxygen,study_id,wastewater_type,isolated by,attribute_package,PublicAccession,ProjectAccession,Species,Genus,sequenced_by,replicate,assembly_method,assembly_method_version,genome_coverage,sequencing_technology,filename,altitude,samp_size,temp,Acquisition,Sequencing facility,drug_usage,estimated_size,health_state,host_body_product,MLST,N/A,dermatology_disord,extrachrom_elements,alternate_ID,Meropenem resistant,authors,phenotype,beta_lactamase_family,carbapenemase,edta_inhibitor_tested,collecting_lab,biological_replicate,altitude_info,ENA-FIRST-PUBLIC,anonymized name,supplier_name,common name,geographic location (latitude),geographic location (longitude),ArrayExpress-SPECIES,subject id,description,environmental sample,sequencing method,wastewater/sludge environmental package,library construction method,In_List
GCF_003226115.1_ASM322611v1_genomic,Klebsiella pneumoniae,strong,3,5409225,5409225,5645210,no,-,ST628,0,2,9,13,-,0,-,0,-,0,-,0,-,0,-,wzi409,KL2,K2,none,Very high,98.75%,,O3b,O3b,none,Very high,99.32%,,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,OXA-48,SHV-1,-,-,-,-,-,fosA7*?-0%,ST628,2,60,11,1,4,8,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003226115_1,ASM322611v1,Spain:Barcelona,Hospital Universitari Vall d'Hebron,blood,2013/6/23,Kp1066,41.428083 N 2.142278 E,,,,Bacteriemia,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003253855.1_ASM325385v1_genomic,Klebsiella pneumoniae,strong,54,302607,517646,5247212,no,-,ST1689,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi39,KL13,K13,?-+,Good,98.80%,KL13_18_manB,O3b,O3b,?-,Good,99.25%,O3b_02_manB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1^,-,-,-,-,-,fosA7.5*?-0%,ST1689,2,5,1,1,10,1,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003253855_1,ASM325385v1,"USA: St. Louis, Missori",William Lainhart,urine,2017,WUSM_KP_79,38.6270 N 90.1994 W,,,,Infection,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_003255785.1_ASM325578v1_genomic,Klebsiella pneumoniae,strong,239,42667,140030,5286788,no,-,ST983,0,1,8,11,-,0,-,0,-,0,-,0,-,0,-,wzi202,KL127,unknown (KL127),?-,Good,97.83%,KL127_15_rmlB,OL13,O13,?-*,Good,91.68%,"OL13_01_rfbB,OL13_08_wbbB",aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,CatB4.v1?,-,sul2^,tet(A).v1*,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15*,-,-,SHV-168^,146V,-,-,-,-,-,ST983,4,1,2,1,1,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003255785_1,ASM325578v1,"USA: St. Louis, Missori",William Lainhart,Urine Cath,2017,WUSM_KP_69,38.6270 N 90.1994 W,,,,Infection,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_003285145.1_ASM328514v1_genomic,Klebsiella pneumoniae,strong,1,5377145,5377145,5377145,no,-,ST1755,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,-,unknown (KL107),unknown (KL107),?-+*,None,75.97%,"KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15",O1/O2v1,O2a,-+*,Good,72.26%,"O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1,-,-,-,-,-,-,ST1755,2,1,33,1,1,4,284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003285145_1,ASM328514v1,China: Anhui,,,2013,11219,,,,,,,Homo sapiens,,,,,,,a sputum specimen,,,,,,,,,,,pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003316315.1_ASM331631v1_genomic,Klebsiella pneumoniae,strong,127,130809,336916,5459060,no,-,ST1380,0,0,5,6,-,0,-,0,-,0,-,0,-,0,-,wzi31,KL31,K31,none,Very high,99.50%,,O1/O2v1,O2a,none,Very high,97.69%,,-,mcr-9.1,-,-,-,-,-,-,sul1^,tet(B).v2*;tetR,-,dfrA5,TEM-1D.v1^,-,-,-,-,SHV-26,-,-,-,-,-,-,ST1380,2,3,1,1,9,10,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003316315_1,ASM331631v1,Australia: Perth,"Division of Microbiology & Infectious Diseases, PathWest Laboratory Medicine",feces,2015,DLL7528,31.9505 S 115.8605 E,,,,"Diarrhoea, Antibiotic-associated",,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003321315.1_ASM332131v1_genomic,Klebsiella pneumoniae,strong,613,22401,79456,6171738,no,-,ST11,2,3,8,12,ybt 0; ICEKp10 (incomplete),346-2LV,clb 3 (incomplete),17-1LV,-,0,-,0,-,0,-,-,unknown (KL107),unknown (KL107),?-+*,None,88.56%,"KL107_03_wzi,KL107_04_wza,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10",O1/O2v1,O2a,?,Good,98.64%,,aac(3)-IIa.v1;aadA2^;aph(3')-VIa*;aph3-Ia.v1^;strA.v1,-,-,-,-,mphA;mphE.v2;msrE,-,-,sul1,-,-,dfrA12,TEM-1D.v1^,-,-,-,KPC-2,SHV-11,35Q,OmpK35-40%;OmpK36-0%,PmrB-41%,GyrA-83I;ParC-80I,-,aph(6)-Id.v2?-75%,ST11,3,3,1,1,1,1,4,48,-,5,94,60,181,-,50,11,4,84,2,10,2,2,2,2,2,8,2,-,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,irp1_200*-0%;irp1_245*-43%;ybtX_115*-68%;clbL_2*-0%,GCF_003321315_1,ASM332131v1,"Brazil: Hospital das Clinicas, Sao Paulo",hospital staff,swab,2013,BC_2162,not collected,,,,Infection,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003345475.1_ASM334547v1_genomic,Klebsiella pneumoniae,strong,59,225859,490078,5469561,no,-,ST442,0,0,5,5,-,0,-,0,-,0,-,0,-,0,-,-,unknown (KL79),unknown (K79),?-+*,None,85.21%,"KL79_03_wzi,KL79_05_wzb,KL79_06_wzc,KL79_08_wcaA,KL79_09_wcuM,KL79_10_wcuR,KL79_11,KL79_12_wzy",O1/O2v3,O2a,-*,High,93.28%,O1/O2v3_08,-,mcr-1.1,-,qnrS1,-,-,-,-,sul1,tet(A).v1,-,dfrA1.v1,-,-,-,-,-,SHV-110,156D;35Q,-,MgrB-49%,-,-,-,ST442,10,20,2,1,9,11,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003345475_1,ASM334547v1,China,Sun Yat-Sen University,Environment,2016/10/15,GB015,23.5 N 113 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003346475.1_ASM334647v1_genomic,Klebsiella pneumoniae,strong,103,232019,605378,5428003,yes (75),ambiguous_bases,ST236,0,0,6,9,-,0,-,0,-,0,-,0,-,0,-,wzi202,KL127,unknown (KL127),none,Very high,99.89%,,OL13,O13,?+*,Good,95.05%,,aadA1.v1^;strA.v1;strB.v1,-,-,qnrB4,-,-,-,-,sul1,tet(A).v1,-,dfrA1.v2,DHA-1;TEM-1D.v1,-,-,-,-,SHV-60,35Q,-,-,-,-,aph(3')-Ia?-0%,ST236,2,1,1,1,16,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003346475_1,ASM334647v1,Algeria:Bejaia,Ferielle Mesbah Zekar,Celery,2013/4/1,G8_Kp,36.75 N 5.08 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003401375.1_ASM340137v1_genomic,Klebsiella pneumoniae,strong,288,360194,659177,5397071,no,-,ST1537,0,1,8,9,-,0,-,0,-,0,-,0,-,0,-,-,KL10,K10,none,Very high,98.51%,,O3b,O3b,none,Very high,97.17%,,strA.v1^;strB.v1,-,-,qnrB19^,-,mphA,floR.v1,-,sul2,tet(A).v2,-,-,TEM-1D.v1^,-,CTX-M-1*,-,-,SHV-1^,-,OmpK35-32%,-,-,-,aac(6')-Ib-cr7?-0%,ST1537,2,1,2,1,12,1,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003401375_1,ASM340137v1,"USA: Palo Alto, California",Stanford Healthcare Clinical Microbiology Laboratory,bloodstream,2015/5/1,CRE32,37.4335 N 122.1754 W,,,,bacterial infectious disease,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,carbapenemase-negative,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003403255.1_ASM340325v1_genomic,Klebsiella pneumoniae,strong,53,197869,349980,5232010,no,-,ST3181,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi117,KL54,K54,none,Very high,99.49%,,O1/O2v1,O2a,none,Very high,98.18%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST3181,3,1,1,1,27,5,428,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003403255_1,ASM340325v1,Russia: Nizhny Novgorod,,,2015,828,,,,,,,Homo sapiens,,,,,,,cell culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003403275.1_ASM340327v1_genomic,Klebsiella pneumoniae,strong,33,295245,1419284,5199422,no,-,ST17,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi82,KL23,K23,-+,Good,99.94%,KL23_02_cpsACP,O1/O2v2,O2afg,none,Very high,98.43%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST17,2,1,1,1,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003403275_1,ASM340327v1,Russia: Nizhny Novgorod,,,2015,1013,,,,,,,Homo sapiens,,,,,,,cell culture,,,,,,,,,,,,,,17,,,,,,,,,,,K-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003413505.1_ASM341350v1_genomic,Klebsiella pneumoniae,strong,6,5235115,5235115,5652029,no,-,ST3747,0,2,8,10,-,0,-,0,-,0,-,0,-,0,-,-,KL164,unknown (KL164),*,Very high,99.96%,,OL102,unknown (OL102),?-*,Good,78.89%,"OL102_05_wbbL,OL102_06_rhamnan",strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,-,-,sul1*;sul2,tet(A).v1,-,dfrA14.v2*,TEM-105*,-,CTX-M-15,-,NDM-1,SHV-11^,35Q,-,-,-,TEM-105*-55%,DHA-1?-70%,ST3747,2,1,1,245,61,4,132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003413505_1,ASM341350v1,United Kingdom,Hospital in South East England,rectal swab,2017/10/28,Kp_SE1_NDM_10_2017,missing,,,male,screen,72,Homo sapiens,,,,,,,,,,,,,,,,,,,,,"VNTR 2, 4, 4, 2, 0, 1, 2, 3, 2, 2, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003432185.1_ASM343218v1_genomic,Klebsiella pneumoniae,strong,2,5362796,5362796,5596264,no,-,ST29,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi327,KL63,K63,none,Very high,98.92%,,O1/O2v2,O2afg,none,Very high,99.55%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-187,-,-,-,-,-,-,ST29,2,3,2,2,6,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003432185_1,ASM343218v1,Australia,,urine,Oct-13,INF206,-0.262631447,,,,,,Homo sapiens,,INF206,,diseased,,,,INF206-sc-2280074,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,2015/9/22,,ERC000011,SAMEA3357145,SC,Wellcome Sanger Institute,2015-09-22T09:29:37Z,2023-06-13T16:39:56Z,public,INF206-sc-2280074,,,,,,,,,,,,,2023/6/13,Melbourne,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003432205.1_ASM343220v1_genomic,Klebsiella pneumoniae,strong,3,5276478,5276478,5419864,no,-,ST230,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi202,KL127,unknown (KL127),none,Very high,99.95%,,OL13,O13,*,High,94.97%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-119^,35Q,-,-,-,-,-,ST230,2,1,2,1,13,1,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003432205_1,ASM343220v1,Australia,,rectal swab,Nov-13,KSB1_7F,-0.262635949,,,,,,Homo sapiens,,KSB1_7F,,healthy,,,,KSB1_7F-sc-2280268,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,2015/9/22,,ERC000011,SAMEA3357337,SC,Wellcome Sanger Institute,2015-09-22T09:29:40Z,2023-06-13T16:39:57Z,public,KSB1_7F-sc-2280268,,,,,,,,,,,,,2023/6/13,Melbourne,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003432245.1_ASM343224v1_genomic,Klebsiella pneumoniae,strong,3,5270163,5270163,5465612,no,-,ST36,1,0,0,0,ybt 9; ICEKp3,214,-,0,-,0,-,0,-,0,-,wzi378,KL142,unknown (KL142),none,Very high,98.88%,,O1/O2v1,O2a,none,Very high,98.83%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST36,2,1,2,1,7,1,7,5,28,6,5,1,25,37,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003432245_1,ASM343224v1,Australia,,urine,Jul-13,INF116,-0.262632048,,,,,,Homo sapiens,,INF116,,diseased,,,,INF116-sc-2279924,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,2015/9/8,,ERC000011,SAMEA3356997,SC,Wellcome Sanger Institute,2015-09-08T09:44:08Z,2023-06-13T16:39:55Z,public,INF116-sc-2279924,,,,,,,,,,,,,2023/6/13,Melbourne,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003439475.1_ASM343947v1_genomic,Klebsiella pneumoniae,strong,50,319059,751044,5312301,yes (931),ambiguous_bases,ST1203,1,0,0,0,ybt 10; ICEKp4,524,-,0,-,0,-,0,-,0,-,wzi2,KL30,K30,none,Very high,99.16%,,O1/O2v1,O2a,none,Very high,98.54%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-65,-,-,-,-,-,-,ST1203,2,6,1,1,1,1,31,3,3,4,3,3,341,7,3,3,3,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003439475_1,ASM343947v1,China: Shenzhen,,feces,2013/11/1,OM02-11LB,,,,,,,Homo sapiens,,,,,,,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003469885.1_ASM346988v1_genomic,Klebsiella pneumoniae,strong,247,48062,271086,5557103,yes (2505),ambiguous_bases,ST2054,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi343,KL109,unknown (KL109),none,Very high,99.09%,,O1/O2v2,O2afg,none,Very high,98.45%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-27,156D,-,-,-,-,-,ST2054,2,1,5,117,10,4,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003469885_1,ASM346988v1,China: Shenzhen,,feces,2013/12/1,AM28-14AC,,,,,,,Homo sapiens,,,,,,,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_003571025.1_ASM357102v1_genomic,Klebsiella pneumoniae,strong,84,351710,561755,5695837,no,-,ST2843,4,0,0,0,ybt 8; ICEKp3 (truncated),372-3LV,-,0,iuc 3,41-2LV,-,0,-,0,-,wzi355,KL114,unknown (KL114),none,Very high,99.21%,,O3/O3a,O3/O3a,none,Very high,97.84%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1,-,-,-,-,-,-,ST2843,14,5,2,1,7,1,23,5,11,94,5,66,226*-84%,239,82,60,5,174,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12*,14,22,21,13,-,-,-,-,-,-,-,-,GCF_003571025_1,ASM357102v1,"New Zealand: Enderby Island, Auckland Islands",,Tracheobronchial lymph nodes,2009/12/28,E09_10_13Ph,,,,,,,Phocarctos hookeri,,,,,,,bacterial isolate,,,,,,,,,,,,,,,Tracheobronchial lymph nodes,,,,,,,,,,Non-K1/1K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_003571525.1_ASM357152v1_genomic,Klebsiella pneumoniae,strong,6,5147572,5147572,5595201,no,-,ST2938,0,2,7,12,-,0,-,0,-,0,-,0,-,0,-,wzi393,unknown (KL107),unknown (KL107),?-+*,None,84.32%,"KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15",O5,O5,none,Very high,99.55%,,aac(6')-Il;aadA1.v1^;aadA2^;ant(2'')-Ia,-,-,qnrA1,-,mphA,-,-,sul1;sul1,-,-,dfrA1.v2;dfrA12,-,-,SHV-30,-,VIM-1,SHV-11^,238S;35Q,-,-,-,-,-,ST2938,2,3,2,1,7,4,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003571525_1,ASM357152v1,missing,missing,missing,missing,,missing,,,,missing,,missing,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CarbaNP-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_003571645.1_ASM357164v1_genomic,Klebsiella pneumoniae,strong,6,5309987,5309987,5703725,no,-,ST3603,0,2,6,12,-,0,-,0,-,0,-,0,-,0,-,wzi420,KL10,K10,none,Very high,96.74%,,O3/O3a,O3/O3a,none,Very high,97.98%,,aac(6')-Ib'.v1;aadA*;aadA2^;strA.v1^;strB.v1,-,-,-,-,-,-,-,sul1;sul2^,-,-,dfrA12;dfrA14.v2*,OXA-9.v1;TEM-1D.v1^,-,-,-,KPC-3,SHV-11^,35Q,OmpK35-16%,-,GyrA-83I;GyrA-87N;ParC-84K,-,-,ST3603,2,9,253,1,13,1,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_003571645_1,ASM357164v1,missing,missing,missing,missing,,missing,,,,missing,,missing,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CarbaNP-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_003573775.1_ASM357377v1_genomic,Klebsiella pneumoniae,strong,85,214970,388167,5320679,no,-,ST86,1,0,0,0,ybt 10; ICEKp4?,72-1LV,-,0,-,0,iro 1,1,rmp 1; KpVP-1,26,-,wzi2,KL2,K2,none,Very high,99.93%,,O1/O2v1,O2a,?-,Good,98.46%,O1/O2v1_04_glf,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1^,-,-,-,-,-,-,ST86,9,4,2,1,1,1,27,3,10,4,3,74,5,5,3,10,9,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,2,2,2,-,GCF_003573775_1,ASM357377v1,"New Zealand: Enderby Island, Auckland Islands",,cloacal swabs or voided feces,Mar-15,E14_15_42Sa,,,,,,,Stercorarius antarcticus,,,,,,,bacterial cuture,,,,,,,,,,,,,,,cloacal swabs or voided feces,,,,,,,,,,K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
