Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,kpref
gcvA_2~~~gcvA_1~~~gcvA_3~~~gcvA_5~~~gcvA_4,gcvA_2;gcvA_1;gcvA_3;gcvA_5;gcvA_4,glycine cleavage system transcriptional regulator GcvA,199,199,1.0,1,96,,,,366,954,946.6582914572864,
tcyL_2~~~tcyL_3,tcyL_2;tcyL_3;,cystine ABC transporter permease;hypothetical protein,197,197,1.0,1,97,,,,243,672,669.0461538461539,
group_65,,hypothetical protein,74,74,1.0,1,98,,,,1038,1038,1038.0,
group_67,,DeoR/GlpR family DNA-binding transcription regulator,520,521,1.001923076923077,1,101,,,,189,774,772.4740882917466,Kp_04310
group_69,,Family of unknown function (DUF6260),52,52,1.0,1,103,,,,666,1032,1024.9615384615386,
yiaW,;yiaW,DUF3302 domain-containing protein;Inner membrane protein YiaW,727,728,1.001375515818432,1,104,,,,111,369,367.7513736263736,
group_71,,hypothetical protein,87,87,1.0,1,106,,,,483,1035,1018.896551724138,
group_72,,Phage spike trimer;hypothetical protein,199,199,1.0,1,107,,,,585,588,587.9396984924623,
group_77,,hypothetical protein;NCBI Protein Cluster (PRK): TonB system transport protein TonB,543,543,1.0,1,114,,,,306,363,362.6900584795322,
group_80,,hypothetical protein,106,106,1.0,1,118,,,,969,1008,1007.6320754716982,
group_83,,PTS ascorbate transporter subunit IIC,1338,1356,1.0134529147982063,1,121,,,,120,1326,1231.0969652109547,Kp_02478
group_85,,PTS sugar transporter subunit IIA,1310,1310,1.0,1,123,,,,156,510,460.9434682964095,Kp_02476
group_89,,hypothetical protein;Resolvase N terminal domain,33,36,1.0909090909090908,1,129,,,,657,1773,1567.25,
group_103,,acyl-CoA dehydrogenase family protein;hypothetical protein,35,35,1.0,1,145,,,,318,744,335.04,
group_105,,HlyD family secretion protein;hypothetical protein,945,960,1.0158730158730158,1,148,,,,90,1068,1021.3125,Kp_02507
acr1~~~actIII,;acr1;actIII,hypothetical protein;short chain dehydrogenase;Fatty acyl-CoA reductase;Putative ketoacyl reductase;SDR family oxidoreductase,838,840,1.002386634844869,1,149,,,,234,885,739.4191616766467,
group_106,,hypothetical protein;LysR family transcriptional regulator,166,167,1.0060240963855422,1,150,,,,147,906,899.6204819277109,
group_108,,hypothetical protein,1404,1404,1.0,1,152,,,,126,267,165.45345345345345,Kp_01668
group_109,,hypothetical protein,104,104,1.0,1,153,,,,204,255,230.24271844660197,
group_111,,hypothetical protein,38,38,1.0,1,158,,,,255,1065,1043.6842105263158,
tssD_2~~~tssD~~~tssD_4,tssD_2;tssD;tssD_4,type VI secretion system tube protein TssD,359,359,1.0,1,159,,,,480,480,480.0,
group_112,,efflux RND transporter permease subunit;hypothetical protein,1241,1265,1.0193392425463337,1,160,,,,225,3066,2992.4845849802373,Kp_01552
group_117,,DJ-1/PfpI family protein,1365,1367,1.0014652014652017,1,166,,,,93,567,555.2327964860908,Kp_02131
group_120,,conserved phage C-terminal domain-containing protein;hypothetical protein,71,72,1.0140845070422535,1,171,,,,240,984,932.5833333333334,
group_122,,hypothetical protein;Lactonase drp35,1254,1299,1.0358851674641147,1,174,,,,150,1053,881.1094834232845,Kp_02449
group_123,,hypothetical protein,27,27,1.0,1,175,,,,507,834,821.4230769230769,
group_125,,LysR family transcriptional regulator,1233,1236,1.002433090024331,1,180,,,,264,975,929.769417475728,Kp_02549
kbvR_1~~~kbvR~~~kbvR_2,kbvR_1;kbvR;kbvR_2,LuxR family transcriptional regulator KbvR,1381,1386,1.00362056480811,1,184,,,,114,612,606.0065264684554,Kp_02330
group_131,,4-hydroxyproline 2-epimerase,145,145,1.0,1,189,,,,948,948,948.0,
group_132,,hypothetical protein;Arginase family,588,590,1.0034013605442176,1,190,,,,264,867,852.2898305084746,
dnaC_4~~~dnaC_2~~~dnaC_3,dnaC_4;dnaC_2;dnaC_3,DNA replication protein DnaC,107,110,1.02803738317757,1,199,,,,276,744,703.1009174311927,
ydfG_2,ydfG_2;,bifunctional NADP-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase YdfG;Uncharacterized oxidoreductase Rv0484c,186,187,1.0053763440860215,1,203,,,,300,753,748.9732620320856,
group_144,,Putative excisionase (DUF1233),52,52,1.0,1,204,,,,213,213,213.0,
group_145,,LacI family DNA-binding transcriptional regulator;hypothetical protein,952,956,1.004201680672269,1,205,,,,192,1023,1017.5962343096236,Kp_02462
group_146,,ATP-binding cassette domain-containing protein;hypothetical protein,944,946,1.0021186440677967,1,206,,,,114,783,779.631746031746,Kp_02463
group_147,,hypothetical protein,67,67,1.0,1,207,,,,309,381,379.9253731343284,
cas1e~~~ygbT,cas1e;ygbT,type I-E CRISPR-associated endonuclease Cas1e;CRISPR-associated endonuclease Cas1,284,288,1.0140845070422535,1,210,,,,339,921,874.9128919860627,
group_156,,hypothetical protein,42,42,1.0,1,217,,,,1989,1995,1991.9285714285716,
group_158,,Phage capsid protein;hypothetical protein,42,42,1.0,1,219,,,,906,912,909.0,
group_162,,Protein of unknown function (DUF2767),23,23,1.0,1,223,,,,210,210,210.0,
group_163,,glycoside hydrolase 43 family protein,1264,1281,1.0134493670886076,1,225,,,,267,1575,1506.8631743549647,Kp_04177
group_165,,hypothetical protein,125,125,1.0,1,227,,,,213,213,213.0,
group_168,,AlpA family transcriptional regulator,44,44,1.0,1,230,,,,213,213,213.0,
group_174,,OmpA family protein;hypothetical protein,256,259,1.01171875,1,237,,,,237,1704,1675.7258687258686,
group_185,,hypothetical protein,384,384,1.0,1,249,,,,666,1053,877.5430809399478,
group_189,,hypothetical protein,39,39,1.0,1,253,,,,876,876,876.0,
group_191,,SUMF1/EgtB/PvdO family nonheme iron enzyme,689,700,1.0159651669085632,1,255,,,,204,900,787.6117478510029,Kp_02996
group_192,,SUMF1/EgtB/PvdO family nonheme iron enzyme,271,271,1.0,1,256,,,,204,894,734.7962264150943,Kp_02999
group_193,,hypothetical protein,164,164,1.0,1,257,,,,135,1008,515.3684210526316,
hha_2,hha_2,HHA domain-containing protein,45,45,1.0,1,259,,,,213,213,213.0,
group_196,,Radical SAM superfamily,34,34,1.0,1,262,,,,1110,1110,1110.0,
emrA_2~~~emrA_3~~~emrA_1,emrA_2;emrA_3;emrA_1,multidrug efflux MFS transporter periplasmic adaptor subunit EmrA,142,143,1.0070422535211268,1,271,,,,420,1167,1155.062937062937,
group_205,,ABC transporter ATP-binding protein;hypothetical protein,1071,1071,1.0,1,275,,,,189,264,189.09167544783983,
group_207,,hypothetical protein;AAA ATPase domain,80,96,1.2,1,277,,,,777,1881,1308.225,
acuR,;acuR,TetR/AcrR family transcriptional regulator;Tetracyclin repressor-like C-terminal domain;Transcriptional regulator AcuR,1377,1378,1.0007262164124908,1,278,,,,222,777,702.2309368191721,Kp_03179
group_210,,hypothetical protein,100,100,1.0,1,285,,,,93,117,93.24242424242424,
group_211,,acetyl-CoA C-acetyltransferase,82,83,1.0121951219512195,1,287,,,,492,1185,1170.9146341463415,
group_214,,hypothetical protein;Domain of unknown function (DUF932),33,33,1.0,1,290,,,,822,822,822.0,
group_216,,hypothetical protein,195,195,1.0,1,292,,,,804,822,804.123076923077,
group_221,,amino acid ABC transporter ATP-binding protein,44,44,1.0,1,298,,,,210,627,570.4883720930233,
group_223,,Predicted membrane protein (DUF2254);hypothetical protein,415,416,1.002409638554217,1,302,,,,261,1311,1261.6503667481663,
group_224,,Phage major capsid protein P2 family,68,68,1.0,1,304,,,,1059,1059,1059.0,
group_227,,hypothetical protein,31,31,1.0,1,307,,,,225,225,225.0,
nhoA_2,nhoA_2,N-hydroxyarylamine O-acetyltransferase,66,66,1.0,1,311,,,,609,789,777.9230769230769,
group_230,,hypothetical protein;AAA ATPase domain,27,28,1.037037037037037,1,312,,,,174,1476,1348.928571428571,
group_232,,hypothetical protein,53,53,1.0,1,314,,,,273,273,273.0,
group_233,,hypothetical protein,376,377,1.002659574468085,1,315,,,,117,402,399.768,
group_237,,hypothetical protein,24,24,1.0,1,320,,,,96,1452,1361.2173913043478,
group_239,,hypothetical protein,137,138,1.0072992700729928,1,323,,,,150,735,725.2554744525547,
group_247,,hypothetical protein,126,126,1.0,1,332,,,,117,408,405.672,
group_250,,hypothetical protein,112,112,1.0,1,339,,,,120,369,366.7767857142857,
group_254,,oxidoreductase;hypothetical protein,74,79,1.0675675675675675,1,343,,,,306,1383,964.8846153846154,
group_256,,hypothetical protein,113,113,1.0,1,345,,,,267,675,622.566371681416,
ydfG_1~~~ydfG_2,ydfG_1;ydfG_2,bifunctional NADP-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase YdfG,49,49,1.0,1,349,,,,624,744,741.5510204081633,
group_260,,hypothetical protein;Prophage minor tail protein Z (GPZ),55,55,1.0,1,350,,,,579,579,579.0,
group_261,,hypothetical protein;Prophage tail length tape measure protein,62,62,1.0,1,351,,,,3051,3147,3143.370967741936,
group_268,,Carboxymuconolactone decarboxylase family,241,241,1.0,1,360,,,,339,339,339.0,
group_270,,DUF6392 family protein;hypothetical protein,581,697,1.1996557659208262,1,362,,,,126,885,396.53757225433526,
group_273,,hypothetical protein,68,68,1.0,1,366,,,,120,180,158.9558823529412,
group_279,,hypothetical protein,74,74,1.0,1,374,,,,327,351,350.6756756756757,
astE_2~~~astE_3,astE_2;astE_3,succinylglutamate desuccinylase;Succinylglutamate desuccinylase,49,49,1.0,1,383,,,,234,990,974.5102040816328,
group_288,,Phage regulatory protein Rha (Phage_pRha);hypothetical protein,22,22,1.0,1,384,,,,690,717,696.9545454545455,
group_289,,hypothetical protein,42,42,1.0,1,385,,,,480,501,492.7142857142857,
group_290,,aldo/keto reductase;hypothetical protein,158,161,1.018987341772152,1,386,,,,141,852,824.0496894409938,
group_292,,hypothetical protein;fimbrial protein,404,404,1.0,1,388,,,,123,552,542.6138613861386,
group_299,,four-carbon acid sugar kinase family protein;hypothetical protein,1120,1132,1.0107142857142857,1,395,,,,153,1719,1691.9973498233217,Kp_01895
group_301,,hypothetical protein,125,125,1.0,1,397,,,,432,453,432.336,
group_302,,Putative outer membrane core complex of type IVb secretion,40,40,1.0,1,398,,,,1104,1104,1104.0,
group_303,,glycoside hydrolase family 19 protein,41,41,1.0,1,400,,,,546,627,625.0243902439024,
group_305,,class I adenylate-forming enzyme family protein,1374,1374,1.0,1,403,,,,336,1557,1551.3471615720523,Kp_02439
group_306,,Helix-turn-helix domain,47,47,1.0,1,404,,,,339,339,339.0,
group_308,,hypothetical protein,21,21,1.0,1,406,,,,519,519,519.0,
group_310,,hypothetical protein,44,44,1.0,1,411,,,,339,339,339.0,
group_311,,amino acid ABC transporter ATP-binding protein,38,38,1.0,1,413,,,,741,741,741.0,
group_312,,;NCBI Protein Cluster (PRK): putative alcohol dehydrogenase;hypothetical protein;NCBIFAM: acryloyl-coenzyme A reductase,67,67,1.0,1,414,,,,345,516,485.86567164179104,
group_317,,hypothetical protein,27,27,1.0,1,423,,,,147,156,147.33333333333334,
group_320,,hypothetical protein,42,43,1.0238095238095235,1,427,,,,750,1470,1398.906976744186,
trxA_1~~~trxA_2~~~trxC_2~~~trxC_1,trxA_1;trxA_2;trxC_2;trxC_1,thioredoxin TrxA;thioredoxin TrxC,235,235,1.0,1,428,,,,186,324,322.55744680851063,
group_323,,hypothetical protein;formate C-acetyltransferase,341,345,1.0117302052785924,1,432,,,,282,2298,2264.1652173913044,Kp_01781
group_327,,hypothetical protein,59,59,1.0,1,436,,,,342,342,342.0,
group_328,,hypothetical protein,75,75,1.0,1,437,,,,1101,1101,1101.0,
group_330,,Reverse transcriptase (RNA-dependent DNA polymerase),52,52,1.0,1,439,,,,1101,1101,1101.0,
group_332,,transglycosylase SLT domain-containing protein,47,47,1.0,1,443,,,,534,534,534.0,
nrdB_1~~~nrdB_3~~~nrdB_2,nrdB_1;nrdB_3;nrdB_2,ribonucleotide-diphosphate reductase subunit beta,128,128,1.0,1,447,,,,189,1143,1100.0859375,
group_336,,hypothetical protein,62,62,1.0,1,448,,,,321,348,321.8709677419355,
group_340,,hypothetical protein,37,37,1.0,1,452,,,,1917,1923,1920.2432432432436,
citD_2~~~citD~~~citD_1,citD_2;citD;citD_1,Citrate lyase acyl carrier protein,864,864,1.0,1,458,,,,288,294,293.993031358885,
citF_2~~~citF_1~~~citF_3~~~citF,citF_2;citF_1;citF_3;citF,Citrate lyase alpha chain,862,866,1.0046403712296983,1,459,,,,117,1527,1517.136416184971,
group_349,,hypothetical protein;NCBIFAM: anti-phage ZorAB system protein ZorA,24,27,1.125,1,466,,,,231,2556,2236.68,
group_371,,hypothetical protein;NCBI Protein Cluster (PRK): IS2 repressor TnpA,51,51,1.0,1,494,,,,273,585,313.4347826086956,
group_373,,hypothetical protein,135,135,1.0,1,497,,,,483,630,611.3300970873786,
group_374,,hypothetical protein,30,30,1.0,1,498,,,,384,729,697.2,
group_392,,carbohydrate porin,430,430,1.0,1,519,,,,273,1284,1243.986111111111,Kp_02558
group_399,,ATP phosphoribosyltransferase regulatory subunit,23,25,1.0869565217391304,1,527,,,,798,4071,3638.88,Kp_00585
group_402,,SUMF1/EgtB/PvdO family nonheme iron enzyme;hypothetical protein,151,153,1.0132450331125828,1,530,,,,93,894,851.4897959183673,Kp_02998
group_403,,hypothetical protein,44,44,1.0,1,531,,,,141,150,141.20454545454547,
traS,traS,Protein TraS,47,47,1.0,1,532,,,,549,549,549.0,
group_405,,"hypothetical protein;""""",127,127,1.0,1,535,,,,102,642,633.1417322834645,
group_413,,hypothetical protein;Protein of unknown function (DUF3304),151,152,1.0066225165562914,1,547,,,,159,531,423.8741721854304,
group_416,,hypothetical protein,131,132,1.0076335877862594,1,553,,,,105,567,528.28125,
group_421,,Transcriptional regulator AbiEi antitoxin N-terminal domain;Transcriptional regulator AbiEi antitoxin Type IV TA system;hypothetical protein,1293,1294,1.0007733952049498,1,559,,,,285,759,758.0224458204334,
group_422,,hypothetical protein,111,111,1.0,1,561,,,,486,1365,776.265306122449,
group_426,,hypothetical protein,25,25,1.0,1,566,,,,738,738,738.0,
group_428,,hypothetical protein,25,25,1.0,1,568,,,,558,579,578.16,
group_429,,hypothetical protein,61,61,1.0,1,571,,,,873,1278,1251.049180327869,
group_430,,hypothetical protein,285,285,1.0,1,572,,,,186,246,208.6975088967972,
group_434,,hypothetical protein,33,33,1.0,1,576,,,,222,1098,249.375,
group_438,,hypothetical protein,146,146,1.0,1,583,,,,216,1113,1080.082191780822,
group_440,,TetR/AcrR family transcriptional regulator;hypothetical protein,1367,1367,1.0,1,586,,,,330,792,593.8332114118508,Kp_02157
group_442,,RidA family protein,298,298,1.0,1,589,,,,390,549,391.6428571428572,Kp_03167
group_443,,YmfL family putative regulatory protein,51,51,1.0,1,590,,,,516,516,516.0,
group_444,,hypothetical protein;LuxR C-terminal-related transcriptional regulator,849,864,1.017667844522968,1,591,,,,108,735,687.7743055555555,Kp_03765
group_445,,hypothetical protein;Family of unknown function (DUF6088),45,45,1.0,1,592,,,,621,621,621.0,
group_446,,zincin-like metallopeptidase domain-containing protein,94,94,1.0,1,594,,,,786,981,978.9255319148936,
group_452,,hypothetical protein,106,106,1.0,1,601,,,,336,336,336.0,
group_453,,hypothetical protein,111,111,1.0,1,602,,,,138,621,610.6486486486486,
group_458,,hypothetical protein,29,29,1.0,1,607,,,,297,375,372.3103448275862,
group_463,,hypothetical protein;EamA-like transporter family,87,87,1.0,1,614,,,,300,870,839.1034482758621,
group_464,,hypothetical protein;EamA-like transporter family,43,43,1.0,1,615,,,,243,831,782.0930232558139,
group_465,,"hypothetical protein;""""",678,678,1.0,1,616,,,,186,249,248.76514032496308,
group_467,,hypothetical protein,27,29,1.0740740740740742,1,618,,,,345,1209,1082.892857142857,
group_468,,glycosyltransferase family 4 protein,24,24,1.0,1,619,,,,1095,1095,1095.0,
group_469,,hypothetical protein,60,61,1.0166666666666666,1,621,,,,243,1302,1213.0819672131147,
dnaT_2~~~dnaT_1,;dnaT_2;dnaT_1,hypothetical protein;Primosomal protein 1;primosomal protein DnaT,78,81,1.0384615384615383,1,623,,,,240,768,736.5925925925926,
group_472,,hypothetical protein,29,29,1.0,1,627,,,,708,909,899.2758620689655,
group_474,,hypothetical protein,35,35,1.0,1,629,,,,1095,1095,1095.0,
group_478,,LLM class flavin-dependent oxidoreductase,29,29,1.0,1,634,,,,1095,1095,1095.0,Kp_03741
cobT_1~~~cobT_2~~~cobT_3~~~cobT_4,cobT_1;cobT_2;cobT_3;cobT_4,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,1371,1371,1.0,1,639,,,,246,1089,1084.9817117776151,Kp_03249
group_492,,hypothetical protein,37,37,1.0,1,655,,,,186,186,186.0,
group_494,,D-threonate 4-phosphate dehydrogenase;hypothetical protein,1221,1223,1.0016380016380015,1,657,,,,234,987,982.636140637776,Kp_02368
group_495,,DeoR/GlpR family DNA-binding transcription regulator,1219,1220,1.0008203445447088,1,658,,,,177,762,757.1135802469136,Kp_02369
group_502,,DeoR/GlpR family DNA-binding transcription regulator;hypothetical protein,1074,1078,1.0037243947858474,1,665,,,,264,840,765.0782122905028,Kp_02447
norW_2~~~cmtAa~~~hcaD~~~norW_1~~~andAa,norW_2;cmtAa;;hcaD;norW_1;andAa,NADH:flavorubredoxin reductase NorW;p-cumate 23-dioxygenase system ferredoxin--NAD(+) reductase component;hypothetical protein;3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component;Anthranilate 12-dioxygenase system ferredoxin--NAD(+) reductase component,745,752,1.0093959731543625,1,666,,,,114,1197,1179.470744680851,
group_507,,hypothetical protein,93,93,1.0,1,671,,,,234,693,628.8387096774194,
group_511,,hypothetical protein,124,125,1.0080645161290325,1,675,,,,261,645,634.2,
yegD~~~yegD_2~~~yegD_1,yegD;yegD_2;yegD_1;,molecular chaperone;hypothetical protein,1029,1034,1.0048590864917395,1,683,,,,150,1437,1356.0261627906978,Kp_03303
group_527,,D-ribose ABC transporter substrate-binding protein,989,990,1.0010111223458038,1,692,,,,159,963,933.5424242424242,Kp_01362
group_533,,2-oxo acid dehydrogenase subunit E2;hypothetical protein,1069,1071,1.0018709073900842,1,700,,,,303,1536,1528.6582633053222,Kp_01001
group_540,,hypothetical protein,31,31,1.0,1,710,,,,1092,1092,1092.0,
alr_2,alr_2;,alanine racemase;hypothetical protein,48,48,1.0,1,715,,,,324,1086,1006.5,
group_546,,hypothetical protein,184,185,1.0054347826086956,1,721,,,,126,255,254.1967213114754,
group_547,,hypothetical protein,144,144,1.0,1,722,,,,225,228,225.020979020979,
group_553,,hypothetical protein,48,48,1.0,1,729,,,,255,261,256.25,
group_567,,hypothetical protein;Protein of unknown function (DUF3304),44,45,1.0227272727272727,1,747,,,,255,594,488.3333333333333,
group_568,,NCBIFAM: protein DpdI,31,31,1.0,1,748,,,,735,735,735.0,
group_572,,hypothetical protein,73,73,1.0,1,753,,,,597,738,725.75,
group_573,,hypothetical protein,48,48,1.0,1,754,,,,303,303,303.0,
group_574,,hypothetical protein;KAP family P-loop domain,45,46,1.022222222222222,1,755,,,,927,2241,2192.413043478261,
bcsE_1~~~bcsE~~~bcsE_2,bcsE_1;bcsE;bcsE_2,cellulose biosynthesis protein BcsE,1386,1401,1.0108225108225108,1,765,,,,147,1677,1526.8088761632068,Kp_04643
bcsQ_2~~~bcsQ_1~~~bcsQ~~~bcsQ_3,bcsQ_2;bcsQ_1;bcsQ;bcsQ_3,cellulose biosynthesis protein BcsQ,1387,1387,1.0,1,766,,,,306,765,729.9906272530642,Kp_04641
group_584,,C-terminal domain 6 of the ABC-three component (ABC-3C) systems,50,50,1.0,1,770,,,,1089,1089,1089.0,
group_591,,hypothetical protein,115,115,1.0,1,778,,,,240,414,395.5304347826087,
group_595,,hypothetical protein,127,127,1.0,1,782,,,,234,816,713.900826446281,
group_597,,5'-nucleotidase;hypothetical protein,76,76,1.0,1,784,,,,138,930,896.25,
group_599,,PAAR domain-containing protein,141,141,1.0,1,787,,,,264,264,264.0,
group_600,,ImcF-related family protein;hypothetical protein,148,151,1.0202702702702702,1,788,,,,189,3372,3268.7880794701987,
group_602,,hypothetical protein,1263,1266,1.002375296912114,1,790,,,,189,837,772.70783847981,Kp_03727
group_608,,Protein of unknown function (DUF2931),308,310,1.0064935064935066,1,798,,,,270,660,653.9407894736842,
sorF_1~~~sorF_2~~~sorF,sorF_1;sorF_2;sorF,PTS system sorbose-specific EIIA component,704,708,1.005681818181818,1,801,,,,114,408,405.2291371994342,
group_610,,hypothetical protein,93,93,1.0,1,803,,,,318,348,347.6774193548387,
group_612,,Protein of unknown function (DUF2474);hypothetical protein,231,231,1.0,1,808,,,,117,144,143.88053097345133,
group_613,,PTS glucitol/sorbitol transporter subunit IIC,52,52,1.0,1,809,,,,180,522,515.4230769230769,
group_622,,hypothetical protein;Transglycosylase SLT domain,63,64,1.0158730158730158,1,819,,,,234,2013,1830.65625,
group_630,,"Type I restriction modification DNA specificity domain;"""";hypothetical protein",107,112,1.0467289719626167,1,828,,,,174,1287,1149.5727272727272,
ydfK,ydfK,Cold shock protein YdfK,39,39,1.0,1,833,,,,183,312,246.3846153846154,
group_633,,hypothetical protein,43,43,1.0,1,835,,,,117,117,117.0,
group_634,,hypothetical protein,33,33,1.0,1,836,,,,864,933,930.84375,
tssD~~~tssD_1~~~tssD_2,tssD;tssD_1;tssD_2,type VI secretion system tube protein TssD,437,437,1.0,1,838,,,,237,480,297.1768867924528,
group_636,,hypothetical protein,55,55,1.0,1,839,,,,333,333,333.0,
hpaE_2~~~gabD_2~~~hpaE_1~~~betB_1~~~puuC_2,hpaE_2;gabD_2;;hpaE_1;betB_1;puuC_2,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase;NADP-dependent succinate-semialdehyde dehydrogenase;hypothetical protein;betaine-aldehyde dehydrogenase;aldehyde dehydrogenase PuuC,744,744,1.0,1,842,,,,282,2250,1459.576819407008,
group_640,,hypothetical protein,150,150,1.0,1,844,,,,111,192,188.51677852348996,
group_642,,hypothetical protein;glycosyltransferase,143,145,1.013986013986014,1,846,,,,234,984,960.5172413793103,
group_644,,hypothetical protein,71,71,1.0,1,850,,,,333,333,333.0,
group_645,,Peptidase S24-like;hypothetical protein,127,127,1.0,1,851,,,,321,492,395.8818897637796,
group_649,,hypothetical protein,92,92,1.0,1,857,,,,204,210,209.08695652173915,
group_652,,Rpn family recombination-promoting nuclease/putative transposase,427,452,1.0585480093676816,1,860,,,,228,972,915.079822616408,
group_654,,Uncharacterized conserved protein (DUF2303);hypothetical protein,92,93,1.0108695652173914,1,862,,,,690,813,811.6774193548387,
repB_4~~~repB_2,;repB_4;repB_2,hypothetical protein;RepFIB replication protein A,141,141,1.0,1,873,,,,249,906,516.8785714285714,
group_664,,universal stress protein,1243,1247,1.003218020917136,1,875,,,,141,435,432.8481927710843,Kp_01555
group_666,,hypothetical protein;Tape measure protein,76,78,1.0263157894736843,1,877,,,,198,2802,2669.192307692308,
group_670,,"hypothetical protein;""""",185,187,1.0108108108108107,1,884,,,,225,516,509.3582887700535,
group_671,,DUF1778 domain-containing protein,653,653,1.0,1,885,,,,294,294,294.0,Kp_04162
group_673,,Domain of unknown function (DUF4158);Tn3 transposase DDE domain;hypothetical protein,205,208,1.0146341463414634,1,889,,,,195,2973,2489.235294117647,
group_677,,hypothetical protein,73,73,1.0,1,893,,,,270,438,282.28767123287673,
group_678,,class I SAM-dependent methyltransferase,77,78,1.0129870129870129,1,894,,,,654,708,672.0,
group_679,,hypothetical protein,107,107,1.0,1,895,,,,270,480,476.7692307692308,
ssb1_1~~~ssb1_3,ssb1_1;ssb1_3,single-stranded DNA-binding protein SSB1,38,38,1.0,1,898,,,,528,528,528.0,
group_682,,Transglycosylase SLT domain;hypothetical protein,34,34,1.0,1,899,,,,408,495,435.54545454545456,
group_687,,GNAT family protein;hypothetical protein;Acetyltransferase (GNAT) domain,930,930,1.0,1,905,,,,258,684,535.4627027027027,
xerC_1~~~xerC_2~~~xerC_5~~~xerC_4~~~xerC_3,;xerC_1;xerC_2;xerC_5;xerC_4;xerC_3,hypothetical protein;Tyrosine recombinase XerC,62,62,1.0,1,909,,,,300,1641,1395.7,
group_691,,tyrosine-type recombinase/integrase,52,53,1.0192307692307692,1,911,,,,276,1215,1174.0754716981132,
group_696,,hypothetical protein,648,648,1.0,1,919,,,,477,834,664.5976627712855,Kp_02799
