query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
group_12359	1163671.JAGI01000002_gene3910	2.46e-190	537.0	COG2828@1|root,COG2828@2|Bacteria,1TPP6@1239|Firmicutes,24E0P@186801|Clostridia,36HN9@31979|Clostridiaceae	186801|Clostridia	S	PrpF protein	-	-	-	-	-	-	-	-	-	-	-	-	PrpF
group_1241	1408311.JNJM01000004_gene3427	2.17e-136	399.0	COG2706@1|root,COG2706@2|Bacteria,1TQ3J@1239|Firmicutes,248JF@186801|Clostridia	186801|Clostridia	G	Psort location Cytoplasmic, score	-	-	3.1.1.31	ko:K07404	ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map01100,map01110,map01120,map01130,map01200	M00004,M00006,M00008	R02035	RC00537	ko00000,ko00001,ko00002,ko01000	-	-	-	Lactonase
group_3139	1286170.RORB6_17755	4.89e-71	223.0	COG0834@1|root,COG0834@2|Bacteria,1N2RR@1224|Proteobacteria,1S3IS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	ET	COG0834 ABC-type amino acid transport signal transduction systems periplasmic component domain	-	-	-	ko:K02030	-	M00236	-	-	ko00000,ko00002,ko02000	3.A.1.3	-	-	SBP_bac_3
group_5481	469008.B21_04035	0.0	928.0	COG4670@1|root,COG4670@2|Bacteria,1MUJW@1224|Proteobacteria,1RP80@1236|Gammaproteobacteria,3XN8Y@561|Escherichia	1236|Gammaproteobacteria	I	CoA transferase having broad substrate specificity for short-chain acyl-CoA thioesters with the activity decreasing when the length of the carboxylic acid chain exceeds four carbons	ydiF	-	2.8.3.1,2.8.3.8	ko:K01026,ko:K19709	ko00620,ko00627,ko00640,ko00643,ko00650,ko01100,ko01120,map00620,map00627,map00640,map00643,map00650,map01100,map01120	-	R00928,R01179,R01359,R01449,R05508,R07832	RC00012,RC00014,RC00137	ko00000,ko00001,ko01000	-	-	-	CoA_trans
group_11820	469008.B21_04036	6.96e-169	473.0	COG1024@1|root,COG1024@2|Bacteria,1MVEC@1224|Proteobacteria,1RP85@1236|Gammaproteobacteria,3XMBS@561|Escherichia	1236|Gammaproteobacteria	I	Enoyl-CoA hydratase/isomerase	-	-	4.2.1.17,5.3.3.18	ko:K01715,ko:K15866	ko00360,ko00650,ko01120,ko01200,map00360,map00650,map01120,map01200	-	R03026,R09837,R09839	RC00004,RC00326,RC00831,RC02689,RC03003	ko00000,ko00001,ko01000	-	-	iECS88_1305.ECS88_4796,iETEC_1333.ETEC_4555	ECH_1
group_4761	754331.AEME01000001_gene3377	8.52e-136	386.0	COG1309@1|root,COG1309@2|Bacteria,1R5AI@1224|Proteobacteria,1S6BI@1236|Gammaproteobacteria,3XPXB@561|Escherichia	1236|Gammaproteobacteria	K	Bacterial regulatory proteins, tetR family	-	-	-	ko:K19736	-	-	-	-	ko00000,ko03000	-	-	-	TetR_C_7,TetR_N
group_7594	371042.NG99_03505	1.47e-304	834.0	COG1167@1|root,COG1167@2|Bacteria,1MUJE@1224|Proteobacteria,1RXYA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs	-	-	-	-	-	-	-	-	-	-	-	-	Aminotran_1_2,GntR
nitA	371042.NG99_03495	2.31e-213	592.0	COG0388@1|root,COG0388@2|Bacteria,1MWQG@1224|Proteobacteria,1RYY7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Nitrilase	-	-	3.5.5.7	ko:K01502	ko00643,ko01120,map00643,map01120	-	R05358	RC01336	ko00000,ko00001,ko01000	-	-	-	CN_hydrolase
group_196	371042.NG99_03490	3.57e-242	668.0	COG2516@1|root,COG2516@2|Bacteria,1MWZQ@1224|Proteobacteria,1RY3C@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Radical SAM	-	-	2.8.1.6	ko:K01012	ko00780,ko01100,map00780,map01100	M00123,M00573,M00577	R01078	RC00441	ko00000,ko00001,ko00002,ko01000	-	-	-	Radical_SAM
thiL_2	371042.NG99_03480	1.32e-192	538.0	COG2144@1|root,COG2144@2|Bacteria,1MVYM@1224|Proteobacteria	1224|Proteobacteria	S	Pfam AIR synthase related protein	-	-	-	ko:K07123	-	-	-	-	ko00000	-	-	-	AIRS,AIRS_C
group_3800	371042.NG99_03475	8.63e-50	159.0	COG2072@1|root,COG2072@2|Bacteria,1N7E1@1224|Proteobacteria,1SDCE@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	flavoprotein involved in K transport	-	-	-	-	-	-	-	-	-	-	-	-	-
group_3817	571.MC52_00195	3.82e-229	631.0	COG0697@1|root,COG0697@2|Bacteria,1MW7P@1224|Proteobacteria,1RQ9F@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EG	Permeases of the drug metabolite transporter (DMT) superfamily	-	-	-	-	-	-	-	-	-	-	-	-	EamA
group_1871	1006000.GKAS_00513	1.05e-68	207.0	2C6Q2@1|root,303KN@2|Bacteria,1RD5V@1224|Proteobacteria,1S5BU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_6538	28152.DJ57_2251	3.24e-67	211.0	2DZ82@1|root,32V6V@2|Bacteria,1N3UK@1224|Proteobacteria,1SF0E@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_4480	1327941.T1SA38_9CAUD	1.28e-246	695.0	4QCM5@10239|Viruses,4QVZY@35237|dsDNA viruses  no RNA stage,4QQFH@28883|Caudovirales,4QNDH@10744|Podoviridae	10744|Podoviridae	S	Bacteriophage head to tail connecting protein	-	GO:0005575,GO:0008150,GO:0016032,GO:0019012,GO:0019028,GO:0019058,GO:0019068,GO:0019072,GO:0019073,GO:0032991,GO:0044403,GO:0044419,GO:0044423,GO:0046798,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
group_1212	1484157.PSNIH2_19950	1.67e-161	453.0	2CJX8@1|root,2ZAA9@2|Bacteria,1RFA5@1224|Proteobacteria,1S7FW@1236|Gammaproteobacteria,3W22U@53335|Pantoea	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_7304	573.JG24_07545	1.6e-215	594.0	COG1180@1|root,COG1180@2|Bacteria,1PD9E@1224|Proteobacteria,1RQG5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	glycyl-radical enzyme activating protein family	pflC	-	1.97.1.4	ko:K04069	-	-	R04710	-	ko00000,ko01000	-	-	e_coli_core.b3952,iAF1260.b3952,iAPECO1_1312.APECO1_2515,iBWG_1329.BWG_3620,iECDH10B_1368.ECDH10B_4140,iECDH1ME8569_1439.ECDH1ME8569_3820,iEcDH1_1363.EcDH1_4034,iJO1366.b3952,iJR904.b3952,iLF82_1304.LF82_1623,iNRG857_1313.NRG857_19745,iY75_1357.Y75_RS17295	Fer4_12,Radical_SAM
group_1346	573.JG24_07555	1.71e-65	199.0	COG1445@1|root,COG1445@2|Bacteria,1RHSU@1224|Proteobacteria,1S6R1@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	FrwB with FrwC, FrwD and PtsA forms a PEP-dependent sugar phosphotransferase system (PTS) permease which may phosphorylate and transport sugars into the cell	frwB	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0008643,GO:0009401,GO:0015144,GO:0016020,GO:0016740,GO:0016772,GO:0016773,GO:0022804,GO:0022857,GO:0034219,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0090563,GO:0090582	2.7.1.202	ko:K02769,ko:K11202	ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060	M00273,M00306	R03232	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.2.1	-	-	PTS_IIB
group_10710	1028307.EAE_03170	4.28e-184	513.0	COG1129@1|root,COG1129@2|Bacteria,1MU22@1224|Proteobacteria,1RMCH@1236|Gammaproteobacteria,3X1HG@547|Enterobacter	1236|Gammaproteobacteria	P	Part of the ABC transporter complex RbsABC involved in ribose import. Responsible for energy coupling to the transport system	-	-	3.6.3.17	ko:K02056,ko:K10441,ko:K10545,ko:K17204	ko02010,map02010	M00212,M00215,M00221,M00590	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.2,3.A.1.2.1,3.A.1.2.11,3.A.1.2.13,3.A.1.2.16,3.A.1.2.19,3.A.1.2.4	-	iYL1228.KPN_04154	ABC_tran
group_11513	1028307.EAE_09165	1.7e-15	74.3	2CD61@1|root,33IFU@2|Bacteria,1NJE8@1224|Proteobacteria,1SRPG@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
phnE_3	1117958.PE143B_0100830	5.2e-188	523.0	COG3639@1|root,COG3639@2|Bacteria,1MW4F@1224|Proteobacteria,1RSR1@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Phosphonate ABC transporter	phnE_2	-	-	ko:K02042	ko02010,map02010	M00223	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.9	-	-	BPD_transp_1
phnC_2	396588.Tgr7_0914	2.58e-188	524.0	COG3638@1|root,COG3638@2|Bacteria,1QXB1@1224|Proteobacteria,1T457@1236|Gammaproteobacteria,1X2QT@135613|Chromatiales	135613|Chromatiales	P	ABC transporter	-	-	3.6.3.28	ko:K02041	ko02010,map02010	M00223	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.9	-	-	ABC_tran
group_8970	1182590.BN5_00840	1.19e-153	437.0	COG1173@1|root,COG1173@2|Bacteria,1MUG0@1224|Proteobacteria,1RN08@1236|Gammaproteobacteria,1YDDT@136841|Pseudomonas aeruginosa group	1236|Gammaproteobacteria	EP	transport	-	-	-	ko:K02034	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1,OppC_N
group_970	1006000.GKAS_00513	1.63e-73	220.0	2C6Q2@1|root,303KN@2|Bacteria,1RD5V@1224|Proteobacteria,1S5BU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_5229	573.JG24_10330	1.49e-222	613.0	COG0583@1|root,COG0583@2|Bacteria,1MU8N@1224|Proteobacteria,1RRVV@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	transcriptional regulator	yvbU	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
group_5141	573.JG24_10340	2.47e-101	293.0	COG0251@1|root,COG0251@2|Bacteria,1RAKQ@1224|Proteobacteria,1S2FK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	J	Endoribonuclease	yabJ_1	-	-	-	-	-	-	-	-	-	-	-	Ribonuc_L-PSP
group_12107	289376.THEYE_A0727	3.56e-08	60.8	COG2188@1|root,COG2188@2|Bacteria	2|Bacteria	K	DNA-binding transcription factor activity	-	-	-	ko:K03710	-	-	-	-	ko00000,ko03000	-	-	-	GntR,UTRA
group_3633	1236973.JCM9157_610	8.7e-14	65.5	COG4317@1|root,COG4317@2|Bacteria,1VKJ6@1239|Firmicutes,4HR5W@91061|Bacilli,1ZIVQ@1386|Bacillus	91061|Bacilli	S	Protein of unknown function (DUF1427)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1427
group_11045	716541.ECL_A117	2.97e-83	246.0	2CGWP@1|root,2ZRA3@2|Bacteria,1P83H@1224|Proteobacteria,1SU9B@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_4198	500640.CIT292_09042	2.6e-96	286.0	COG5463@1|root,COG5463@2|Bacteria,1R90S@1224|Proteobacteria,1RZWI@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF1190)	yjfM	-	-	-	-	-	-	-	-	-	-	-	DUF1190
group_4200	1114922.CIFAM_02_01530	1.5e-144	408.0	COG2057@1|root,COG2057@2|Bacteria,1RA4V@1224|Proteobacteria,1RP21@1236|Gammaproteobacteria,3WY5I@544|Citrobacter	1236|Gammaproteobacteria	I	Acetyl-CoA hydrolase/transferase C-terminal domain	atoA	GO:0003674,GO:0003824,GO:0008410,GO:0008775,GO:0016740,GO:0016782	2.8.3.5,2.8.3.8,2.8.3.9	ko:K01029,ko:K01035	ko00072,ko00280,ko00310,ko00627,ko00640,ko00650,ko01100,ko01120,ko02020,map00072,map00280,map00310,map00627,map00640,map00650,map01100,map01120,map02020	-	R00410,R01179,R01359,R01365,R07832	RC00012,RC00014	ko00000,ko00001,ko01000	-	-	iSSON_1240.SSON_2281	CoA_trans
group_2666	573.JG24_13165	1.14e-232	641.0	COG1609@1|root,COG1609@2|Bacteria,1MUEP@1224|Proteobacteria,1RQKH@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Transcriptional	idnR	-	-	ko:K06145	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_3
group_4	500640.CIT292_09824	6.37e-155	437.0	2DBE4@1|root,2Z8QG@2|Bacteria,1RAK5@1224|Proteobacteria,1RZVI@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	CRISPR-associated protein Cas5	cas5e	-	-	ko:K19125	-	-	-	-	ko00000,ko02048	-	-	-	Cas_Cas5d
group_2430	1151116.Q7S_08930	5.2e-56	180.0	2EPVA@1|root,33HFS@2|Bacteria,1NP29@1224|Proteobacteria,1SPH2@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_9183	571.MC52_15665	1.26e-77	232.0	COG1051@1|root,COG1051@2|Bacteria,1QU7E@1224|Proteobacteria,1T1PU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	F	NUDIX hydrolase	-	-	3.6.1.55	ko:K03574	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	NUDIX
group_10720	573.JG24_21860	3.58e-85	251.0	2BJMN@1|root,32DZ4@2|Bacteria,1RM4D@1224|Proteobacteria,1S746@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_4154	573.JG24_22575	2.59e-229	631.0	COG0524@1|root,COG0524@2|Bacteria,1MV6I@1224|Proteobacteria,1RSHQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	2-dehydro-3-deoxygluconokinase	-	-	2.7.1.45	ko:K00874	ko00030,ko01100,ko01120,ko01200,map00030,map01100,map01120,map01200	M00061,M00308,M00631	R01541	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	PfkB
group_3373	573.JG24_22590	6.47e-196	543.0	COG0191@1|root,COG0191@2|Bacteria,1MURX@1224|Proteobacteria,1RQUC@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	Aldolase	gatY	GO:0003674,GO:0003824,GO:0009025,GO:0016829,GO:0016830,GO:0016832	4.1.2.40	ko:K08302	ko00052,ko01100,map00052,map01100	-	R01069	RC00438,RC00439	ko00000,ko00001,ko01000	-	-	iG2583_1286.G2583_2628,iYL1228.KPN_03543	F_bP_aldolase
gatB	573.JG24_22620	6.62e-62	189.0	COG3414@1|root,COG3414@2|Bacteria,1RHBP@1224|Proteobacteria,1S5Y7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane. The enzyme II complex composed of GatA, GatB and GatC is involved in galactitol transport	gatB	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006810,GO:0008150,GO:0008643,GO:0009401,GO:0015144,GO:0015791,GO:0015796,GO:0015850,GO:0016020,GO:0016740,GO:0016772,GO:0016773,GO:0022804,GO:0022857,GO:0034219,GO:0044424,GO:0044444,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0090563,GO:0090584	2.7.1.200	ko:K02774	ko00052,ko01100,ko02060,map00052,map01100,map02060	M00279	R05570	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.5.1	-	iB21_1397.B21_01985,iECABU_c1320.ECABU_c24230,iECBD_1354.ECBD_1564,iECB_1328.ECB_02019,iECD_1391.ECD_02019,iECH74115_1262.ECH74115_3072,iECSP_1301.ECSP_2888,iECW_1372.ECW_m2294,iECs_1301.ECs2896,iEKO11_1354.EKO11_1661,iEcSMS35_1347.EcSMS35_0971,iSF_1195.SF2155,iSFxv_1172.SFxv_2384,iS_1188.S2281,iWFL_1372.ECW_m2294,iZ_1308.Z3256,ic_1306.c2618	PTS_IIB
gatD	573.JG24_22630	5.61e-251	688.0	COG1063@1|root,COG1063@2|Bacteria,1MXTX@1224|Proteobacteria,1RN1R@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	5-dehydrogenase	gatD	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006059,GO:0006066,GO:0008150,GO:0008152,GO:0008270,GO:0008868,GO:0009056,GO:0009987,GO:0016052,GO:0016491,GO:0016614,GO:0016616,GO:0019400,GO:0019402,GO:0019404,GO:0019405,GO:0019407,GO:0019751,GO:0042802,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044248,GO:0044262,GO:0044275,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046164,GO:0046174,GO:0046872,GO:0046914,GO:0055114,GO:0071704,GO:1901575,GO:1901615,GO:1901616	1.1.1.251	ko:K00094	ko00052,ko01100,map00052,map01100	-	R05571	RC00085	ko00000,ko00001,ko01000	-	-	iEC55989_1330.EC55989_2345,iECNA114_1301.ECNA114_2182,iECSF_1327.ECSF_1973,iYL1228.KPN_03551	ADH_N,ADH_zinc_N
group_10071	61647.LG71_19685	6.47e-65	200.0	COG2932@1|root,COG2932@2|Bacteria,1RKB8@1224|Proteobacteria,1S8AQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Helix-turn-helix	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
group_1174	1453496.AT03_15290	5.97e-23	89.4	2EV9R@1|root,33NQD@2|Bacteria,1NKH1@1224|Proteobacteria,1SI6T@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_10692	379731.PST_3351	1.03e-114	330.0	2DKJT@1|root,309RD@2|Bacteria,1R36E@1224|Proteobacteria,1S60S@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Chlorite dismutase	-	-	-	-	-	-	-	-	-	-	-	-	Chlor_dismutase
ybtT	214092.YPO1908	1.78e-200	554.0	COG3208@1|root,COG3208@2|Bacteria,1RGYT@1224|Proteobacteria,1S4T9@1236|Gammaproteobacteria,41HUT@629|Yersinia	1236|Gammaproteobacteria	Q	Thioesterase domain	irp4	-	-	ko:K05374	-	-	-	-	ko00000,ko01008	-	-	-	Thioesterase
group_12293	1004149.AFOE01000001_gene3005	7.55e-28	116.0	2C45Y@1|root,32RDB@2|Bacteria,4P4DE@976|Bacteroidetes	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_10255	1484157.PSNIH2_22180	2.77e-134	380.0	2BV15@1|root,32QDR@2|Bacteria,1RJ98@1224|Proteobacteria,1RYP4@1236|Gammaproteobacteria,3W0TK@53335|Pantoea	1236|Gammaproteobacteria	S	Prokaryotic cytochrome b561	-	-	-	-	-	-	-	-	-	-	-	-	Ni_hydr_CYTB
fieF_1	1484157.PSNIH2_22175	4.96e-218	602.0	COG0053@1|root,COG0053@2|Bacteria,1MUDS@1224|Proteobacteria,1RNS2@1236|Gammaproteobacteria,3W1PN@53335|Pantoea	1236|Gammaproteobacteria	U	Dimerisation domain of Zinc Transporter	-	-	-	-	-	-	-	-	-	-	-	-	Cation_efflux,ZT_dimer
group_1955	1395516.PMO01_27755	5.32e-36	122.0	COG1502@1|root,COG1502@2|Bacteria	2|Bacteria	I	Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol	-	-	-	-	-	-	-	-	-	-	-	-	Abi_C,PLDc,PLDc_2,PLDc_N
group_12662	1006000.GKAS_02868	2.41e-118	338.0	COG3832@1|root,COG3832@2|Bacteria,1RAAH@1224|Proteobacteria,1S2P4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	J	glyoxalase III activity	-	-	-	-	-	-	-	-	-	-	-	-	-
group_11579	1484157.PSNIH2_20205	1.51e-189	526.0	COG1192@1|root,COG1192@2|Bacteria	2|Bacteria	D	plasmid maintenance	-	-	-	ko:K03496	-	-	-	-	ko00000,ko03036,ko04812	-	-	-	AAA_31
group_11323	1229485.AMYV01000083_gene3477	5.07e-89	281.0	28I39@1|root,2Z874@2|Bacteria,1R56Z@1224|Proteobacteria,1RZS4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_2757	572265.HDEF_p0016	3.66e-184	547.0	COG3505@1|root,COG3505@2|Bacteria,1MV0M@1224|Proteobacteria,1RSC0@1236|Gammaproteobacteria,283C0@191675|unclassified Enterobacteriaceae	1236|Gammaproteobacteria	U	Type IV secretory pathway VirD4	icmO	-	-	ko:K12217	-	-	-	-	ko00000,ko02044	3.A.7.10.1,3.A.7.9.1	-	-	T4SS-DNA_transf,TraG-D_C,TrwB_AAD_bind
lacA	1006000.GKAS_00499	7.71e-26	95.9	COG0110@1|root,COG0110@2|Bacteria,1NZPH@1224|Proteobacteria,1SR4K@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Maltose acetyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Mac
